activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,3,话剧歌剧,852,北京,[],,1_1_649635451324,-2093580079,FALSE,0,1,0,1,话剧《第四种颜色》,话剧《第四种颜色》,72,72-180,180,[],6.49635E+11,[],售票中,,2021.07.10-07.11,3,19,话剧,,郎园Vintage·虞社,北京,1622006,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01qvYYJZ2GdSKYituGs_!!0-item_pic.jpg
[],,0,1,演唱会,852,北京,[],,1_1_647486144852,-2115073144,FALSE,0,0,0,0,【全场酒水无限畅饮】复古蒸汽波说唱派对——少女抛尸案,【全场酒水无限畅饮】复古蒸汽波说唱派对——少女抛尸案,120,120-200,200,[],6.47486E+11,[],售票中,,2021.07.24 周六 20:00,3,48,livehouse,,MAO Livehouse北京,北京,92428,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01v8ZijT2GdSKRMdE7x_!!2-item_pic.png
[],,0,0,儿童亲子,852,北京,[],,1_1_649643535123,-2093499241,FALSE,0,1,0,1,原版绘本小兔汤姆舞台剧《嗨！我是汤姆》,原版绘本小兔汤姆舞台剧《嗨！我是汤姆》,100,100-1080,1080,[],6.49644E+11,[],售票中,,2021.09.03-09.04,3,0,,,天桥剧场,北京,64,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01qEW2yX2GdSKbscG7l_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_644632026950,-2143614323,FALSE,0,1,0,0,X美术馆 x 姜思达：爱我 F**k me,X美术馆 x 姜思达：爱我 F**k me,64,64-128,128,[],6.44632E+11,[],售票中,,2021.06.12-08.15,3,38,展会,,X 美术馆,北京,2715007,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01GZKI6q2GdSKQUr1dV_!!2251059038.jpg
[],,0,1,演唱会,852,北京,[],,1_1_647338416806,-2116550424,FALSE,0,1,0,0,2021 WAGF 音乐节 刘嘉卓&杨楚骁《未来之星》吉他音乐会,2021 WAGF 音乐节 刘嘉卓&杨楚骁《未来之星》吉他音乐会,220,220-280,280,[],6.47338E+11,[],售票中,,2021.08.22 周日 20:00,3,12,音乐节,,东方梅地亚中心M剧场,北京,57497,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01DI8zqL2GdSKGEp2VS_!!0-item_pic.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_647596048393,-2113974109,FALSE,0,0,0,1,1+1计划·张彤导演作品《人鼠之间》,1+1计划·张彤导演作品《人鼠之间》,100,100-380,380,[],6.47596E+11,[],售票中,,2021.08.13-08.19,3,19,话剧,,鼓楼西剧场,北京,56871,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01fTDcwU2GdSKOXubZh_!!2251059038.png
[],,0,3,话剧歌剧,852,北京,[],,1_1_645169195076,-2138242642,FALSE,0,0,0,1,开心麻花首部主题体验式喜剧：偷心晚宴,开心麻花首部主题体验式喜剧：偷心晚宴,180,180-480,480,[],6.45169E+11,[],售票中,,2021.07.02-08.01,3,19,话剧,,阿斯牛牛(三里屯店),北京,2869002,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01YfMkyv2GdSJs946h3_!!0-item_pic.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_647560955767,-2114325035,FALSE,0,1,0,1,大戏东望·2021南锣鼓巷戏剧展演季 东城原创音乐剧《速记员》,大戏东望·2021南锣鼓巷戏剧展演季 东城原创音乐剧《速记员》,100,100-580,580,[],6.47561E+11,[],售票中,,2021.07.02-07.03,3,19,话剧,,北京喜剧院,北京,54024,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01wuALSz2GdSKG3F72J_!!2251059038.jpg
[],,0,1,演唱会,852,北京,[],,1_1_648049750688,-2109437086,FALSE,0,1,0,0,2021 WAGF音乐节 陈亮&宋依凡《鲸鸣之夏》 吉他音乐会,2021 WAGF音乐节 陈亮&宋依凡《鲸鸣之夏》 吉他音乐会,220,220-280,280,[],6.4805E+11,[],售票中,,2021.08.19 周四 20:00,3,12,音乐节,,东方梅地亚中心M剧场,北京,57497,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01EFIpO62GdSKOjvjRM_!!0-item_pic.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_645018866857,-2139745924,FALSE,0,1,0,0,BEIJING DREAMFAIR 2021 北京国际原创艺术与设计师收藏玩具展!,BEIJING DREAMFAIR 2021 北京国际原创艺术与设计师收藏玩具展!,120,120-218,218,[],6.45019E+11,[],售票中,,2021.07.09-07.11,3,38,展会,,全国农业展览馆11号馆,北京,2480005,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01Z9DCgG2GdSK2xbNn3_!!2251059038.jpg
[],,0,2,音乐会,852,北京,[],,1_1_647745425857,-2112480334,FALSE,0,0,0,1,2021漫步经典：乐揽国潮 “乐瞰紫禁城”李飚、赵聪与北京交响乐团音乐会,2021漫步经典：乐揽国潮 “乐瞰紫禁城”李飚、赵聪与北京交响乐团音乐会,50,50-480,480,[],6.47745E+11,[],售票中,,2021.07.18 周日 19:30,3,18,其他,,国家大剧院-音乐厅,北京,528,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN019Cnx9E2GdSKN03w7H_!!0-item_pic.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_646123354636,-2128701046,FALSE,0,1,0,0,过去的未来主义—中国当代艺术中的过去与未来,过去的未来主义—中国当代艺术中的过去与未来,48,48-120,120,[],6.46123E+11,[],售票中,,2021.06.15-08.31,3,39,特色体验,,北京展览馆2号馆2层,北京,3226005,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01LFLxMq2GdSKQ7Z4Xt_!!0-item_pic.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_647053679397,-2119397799,FALSE,0,0,0,1,小柯音乐剧《因为爱情2》,小柯音乐剧《因为爱情2》,100,100-699,699,[],6.47054E+11,[],售票中,,2021.07.02-07.18,3,22,音乐剧,,小柯剧场,北京,54043,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01lLsvar2GdSKI63GCv_!!2-item_pic.png
[],,0,3,话剧歌剧,852,北京,[],,1_1_643404299163,2139075695,FALSE,0,1,0,1,浦发卓信倾情呈献舞剧《永不消逝的电波》,浦发卓信倾情呈献舞剧《永不消逝的电波》,280,280-980,980,[],6.43404E+11,[],售票中,,2021.08.20-08.29,3,22,音乐剧,,天桥剧场,北京,64,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01Sloqo32GdSKQq1TFi_!!2251059038.jpg
